Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK,SIC
YI,"111, Inc.",8.56,110485589.2,12907195,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,NASDAQ,1738906,5912
PIH,"1347 Property Insurance Holdings, Inc.",5.74,34513265.36,,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,NASDAQ,1591890,6331
PIHPP,"1347 Property Insurance Holdings, Inc.",25.2499,17674930,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,NASDAQ,1591890,6331
TURN,180 Degree Capital Corp.,1.9598,60992037.21,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,NASDAQ,893739,6799
FLWS,"1-800 FLOWERS.COM, Inc.",18.46,1187307640,,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,NASDAQ,1084869,5990
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.3727,45707630.52,,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow,NASDAQ,1751692,6036
FCCY,1st Constitution Bancorp (NJ),18.75,161769525,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,NASDAQ,1141807,6035
SRCE,1st Source Corporation,45.47,1167121823,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,NASDAQ,34782,6022
VNET,"21Vianet Group, Inc.",7.55,470198364,62277929,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,NASDAQ,1508475,7370
TWOU,"2U, Inc.",39.52,2492874887,,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,NASDAQ,1459417,7372
QFIN,"360 Finance, Inc.",16.27,50437000,3100000,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,NASDAQ,1741530,6199
JOBS,"51job, Inc.",68.11,2431872250,35705069,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,NASDAQ,1295484,7361
JFK,8i Enterprises Acquisition Corp,9.86,56695000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,NASDAQ,1753648,6770
JFKKR,8i Enterprises Acquisition Corp,0.1994,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,NASDAQ,1753648,6770
JFKKU,8i Enterprises Acquisition Corp,10.17,50850000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,NASDAQ,1753648,6770
JFKKW,8i Enterprises Acquisition Corp,0.14,805000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,NASDAQ,1753648,6770
EGHT,8x8 Inc,23.78,2289713563,,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,NASDAQ,1023731,7374
AAON,"AAON, Inc.",46.65,2431176926,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,NASDAQ,824142,3585
ABEO,Abeona Therapeutics Inc.,6.55,322011407.9,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,NASDAQ,318306,2834
ABEOW,Abeona Therapeutics Inc.,2.2,0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,NASDAQ,318306,2834
ABIL,Ability Inc.,1.255,10089021.56,,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,NASDAQ,1652866,3669
ABMD,"ABIOMED, Inc.",270.39,12201275474,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,NASDAQ,815094,3841
AXAS,Abraxas Petroleum Corporation,1.05,176787430.1,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,NASDAQ,867665,1311
ACIU,AC Immune SA,5.03,339838535,,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,NASDAQ,1651625,2834
ACIA,"Acacia Communications, Inc.",47.31,1920731168,,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,NASDAQ,1651235,3674
ACTG,Acacia Research Corporation,3.13,156701199.5,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,NASDAQ,934549,6794
ACHC,"Acadia Healthcare Company, Inc.",32.71,2893080043,,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,NASDAQ,1520697,8093
ACAD,ACADIA Pharmaceuticals Inc.,25.96,3735186611,,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,NASDAQ,1070494,2834
ACAM,Acamar Partners Acquisition Corp.,9.75,372417357,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam,NASDAQ,1759008,6770
ACAMU,Acamar Partners Acquisition Corp.,10,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,NASDAQ,1759008,6770
ACAMW,Acamar Partners Acquisition Corp.,1,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,NASDAQ,1759008,6770
ACST,"Acasti Pharma, Inc.",0.88,68756805.92,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,NASDAQ,1444192,2834
AXDX,"Accelerate Diagnostics, Inc.",19.06,1038005484,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,NASDAQ,727207,3826
ACCP,"Accelerated Pharma, Inc.",,0,,,,,https://www.nasdaq.com/symbol/accp,NASDAQ,1630970,2834
XLRN,Acceleron Pharma Inc.,42.06,2215962224,,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,NASDAQ,1280600,2836
ARAY,Accuray Incorporated,3.97,349455661.1,,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,NASDAQ,1138723,3841
ACRX,"AcelRx Pharmaceuticals, Inc.",2.74,216224825.8,,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,NASDAQ,1427925,2834
ACER,Acer Therapeutics Inc.,18.75,189138056.3,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,NASDAQ,1069308,2834
ACHV,"Achieve Life Sciences, Inc.",3.86,26502567,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,NASDAQ,949858,2835
ACHN,"Achillion Pharmaceuticals, Inc.",2.84,393979925.8,,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,NASDAQ,1070336,2834
ACIW,"ACI Worldwide, Inc.",32.03,3541338944,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,NASDAQ,935036,7372
ACRS,"Aclaris Therapeutics, Inc.",5.12,211314217,,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,NASDAQ,1557746,2834
ACMR,"ACM Research, Inc.",18.09,291105293,,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,NASDAQ,1680062,3559
ACNB,ACNB Corporation,37.7,265773011.4,,,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,NASDAQ,715579,6022
ACOR,"Acorda Therapeutics, Inc.",10.16,488691478.8,,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,NASDAQ,1008848,2836
ACTT,Act II Global Acquisition Corp.,9.7,2.91E+08,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/actt,NASDAQ,1753706,6770
ACTTU,Act II Global Acquisition Corp.,10.0566,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu,NASDAQ,1753706,6770
ACTTW,Act II Global Acquisition Corp.,0.7,15225000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttw,NASDAQ,1753706,6770
ATVI,"Activision Blizzard, Inc",42.29,32394424147,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,NASDAQ,718877,7372
ADMS,"Adamas Pharmaceuticals, Inc.",4.99,137390722.9,,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,NASDAQ,1328143,2834
ADMP,Adamis Pharmaceuticals Corporation,1.5,71163621,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,NASDAQ,887247,2834
ADAP,Adaptimmune Therapeutics plc,3.67,294593821.3,80270796,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,NASDAQ,1621227,2836
ADUS,Addus HomeCare Corporation,69.55,916849690.9,,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,NASDAQ,1468328,8082
AEY,"ADDvantage Technologies Group, Inc.",1.3235,13713169.96,,,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,NASDAQ,874292,5000
IOTS,Adesto Technologies Corporation,7.64,227061075,,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,NASDAQ,1395848,3674
ADIL,"Adial Pharmaceuticals, Inc",2.28,23300774.64,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil,NASDAQ,1513525,2834
ADILW,"Adial Pharmaceuticals, Inc",0.36,0,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw,NASDAQ,1513525,2834
ADMA,ADMA Biologics Inc,4.6,272861907.6,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,NASDAQ,1368514,2836
ADBE,Adobe Inc.,274.77,1.34074E+11,,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,NASDAQ,796343,7372
ADOM,"ADOMANI, Inc.",0.3519,25630121.67,,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom,NASDAQ,1563568,3714
ADTN,"ADTRAN, Inc.",16.32,780245360.6,,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn,NASDAQ,926282,3661
ADRO,"Aduro Biotech, Inc.",3.2,256136726.4,,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro,NASDAQ,1435049,2834
ADES,"Advanced Emissions Solutions, Inc.",11.7,218196774.9,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,NASDAQ,1515156,2890
AEIS,"Advanced Energy Industries, Inc.",50.38,1926318697,,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,NASDAQ,927003,3679
AMD,"Advanced Micro Devices, Inc.",26.44,28596544836,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd,NASDAQ,2488,3674
ADXS,"Advaxis, Inc.",2.94,23540532.96,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs,NASDAQ,1100397,2834
ADVM,"Adverum Biotechnologies, Inc.",9.22,584867187.2,,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm,NASDAQ,1501756,2836
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,22.1,3315000,,,,,https://www.nasdaq.com/symbol/dwmc,NASDAQ,,
DWSH,AdvisorShares Dorsey Wright Short ETF,26.24,15744000,,,,,https://www.nasdaq.com/symbol/dwsh,NASDAQ,,
BKCH,AdvisorShares Sabretooth ETF,26.1,2610000,,,,,https://www.nasdaq.com/symbol/bkch,NASDAQ,,
ACT,AdvisorShares Vice ETF,24.9401,13093552.5,,,,,https://www.nasdaq.com/symbol/act,NASDAQ,884629,2834
ADYX,"Adynxx, Inc.",6.6074,38387348.76,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/adyx,NASDAQ,1427066,
AEGN,Aegion Corp,14.77,462929168.1,,,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn,NASDAQ,353020,1623
AGLE,"Aeglea BioTherapeutics, Inc.",6.82,196745426.5,,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle,NASDAQ,1636282,2834
AEHR,Aehr Test Systems,1.69,38129854.36,,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr,NASDAQ,1040470,3825
AMTX,"Aemetis, Inc",1.17,23839261.29,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx,NASDAQ,738214,2860
AERI,"Aerie Pharmaceuticals, Inc.",39.87,1830744042,,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri,NASDAQ,1337553,2836
AVAV,"AeroVironment, Inc.",66.2,1584323622,,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav,NASDAQ,1368622,3721
ARPO,"Aerpio Pharmaceuticals, Inc.",1.075,43632104.3,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo,NASDAQ,1422142,2834
AEZS,AEterna Zentaris Inc.,3.14,50900238.38,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs,NASDAQ,1113423,2834
AEMD,"Aethlon Medical, Inc.",0.374,7091228.87,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd,NASDAQ,882291,3826
GNMX,"Aevi Genomic Medicine, Inc.",0.203,13147677.05,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx,NASDAQ,1138776,2836
AFMD,Affimed N.V.,3.1,193533328.6,,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd,NASDAQ,1608390,2834
AGBAU,AGBA Acquisition Limited,10.03,42226300,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/agbau,NASDAQ,,
AGEN,Agenus Inc.,2.86,383979493,,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen,NASDAQ,1098972,2836
AGRX,"Agile Therapeutics, Inc.",1.33,58178417.43,,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx,NASDAQ,1261249,2834
AGYS,"Agilysys, Inc.",22.37,525583776.4,,,Technology,EDP Services,https://www.nasdaq.com/symbol/agys,NASDAQ,78749,7373
AGIO,"Agios Pharmaceuticals, Inc.",48.33,2837518724,,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio,NASDAQ,1439222,2834
AGMH,AGM Group Holdings Inc.,17.6,584602568,,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh,NASDAQ,1705402,7371
AGNC,AGNC Investment Corp.,17.05,9145831488,,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc,NASDAQ,1423689,6798
AGNCB,AGNC Investment Corp.,25.736,8976772313,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb,NASDAQ,1423689,6798
AGNCM,AGNC Investment Corp.,25.17,0,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncm,NASDAQ,1423689,6798
AGNCN,AGNC Investment Corp.,25.945,337285,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn,NASDAQ,1423689,6798
AGFS,"AgroFresh Solutions, Inc.",2.52,129662147.2,,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs,NASDAQ,1592016,6770
AGFSW,"AgroFresh Solutions, Inc.",0.03,0,,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw,NASDAQ,1592016,6770
ALRN,"Aileron Therapeutics, Inc.",1.06,28316434.02,,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn,NASDAQ,1420565,2834
AIMT,"Aimmune Therapeutics, Inc.",20.26,1266096733,,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt,NASDAQ,1631650,2834
AIRT,"Air T, Inc.",27.125,54909978.38,,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt,NASDAQ,353184,4513
ATSG,"Air Transport Services Group, Inc",21.97,1303852777,,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg,NASDAQ,894081,4513
AIRG,"Airgain, Inc.",13.24,133214551.3,,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg,NASDAQ,1272842,3663
AMCN,AirMedia Group Inc.,1.74,15721857,9035550,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn,NASDAQ,1413745,7311
AITB,"AIT Therapeutics, Inc.",5.15,45986827.15,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aitb,NASDAQ,1641631,3841
AKAM,"Akamai Technologies, Inc.",77.89,12763244205,,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam,NASDAQ,1086222,7389
AKTX,Akari Therapeutics Plc,2.3,36245971.4,15759118,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx,NASDAQ,1541157,2834
AKCA,"Akcea Therapeutics, Inc.",21.2,1966732416,,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca,NASDAQ,1662524,2834
AKBA,"Akebia Therapeutics, Inc.",5.24,617599982.1,,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba,NASDAQ,1517022,2834
AKER,Akers Biosciences Inc.,0.65,8123510.2,,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker,NASDAQ,1321834,2835
AKRX,"Akorn, Inc.",4.04,508435123.1,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx,NASDAQ,3116,2834
AKTS,"Akoustis Technologies, Inc.",6.96,209194117,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts,NASDAQ,1584754,3661
ALRM,"Alarm.com Holdings, Inc.",59.46,2873870012,,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm,NASDAQ,1459200,7372
ALSK,"Alaska Communications Systems Group, Inc.",1.73,93047385.68,,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk,NASDAQ,1089511,4813
ALAC,Alberton Acquisition Corporation,10.04,147485090,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alac,NASDAQ,1748621,6770
ALACR,Alberton Acquisition Corporation,0.22,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr,NASDAQ,1748621,6770
ALACU,Alberton Acquisition Corporation,10.28,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu,NASDAQ,1748621,6770
ALACW,Alberton Acquisition Corporation,0.0715,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw,NASDAQ,,
ALBO,"Albireo Pharma, Inc.",33.61,404641041.1,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo,NASDAQ,1322505,2834
ABDC,Alcentra Capital Corp.,8.49,109313555.3,,,,,https://www.nasdaq.com/symbol/abdc,NASDAQ,1578620,
ALDR,"Alder BioPharmaceuticals, Inc.",11.06,920713025.5,,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr,NASDAQ,1423824,2834
ALDX,"Aldeyra Therapeutics, Inc.",7.33,201505738.8,,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx,NASDAQ,1341235,2834
ALEC,"Alector, Inc.",19.5,1342999944,,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alec,NASDAQ,1653087,2836
ALXN,"Alexion Pharmaceuticals, Inc.",127.15,28511761760,,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn,NASDAQ,899866,2834
ALCO,"Alico, Inc.",25.78,192577399.2,,,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco,NASDAQ,3545,100
ALIT,Alight Inc.,,0,,,,,https://www.nasdaq.com/symbol/alit,NASDAQ,1753676,7374
ALGN,"Align Technology, Inc.",311.47,24919123711,,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn,NASDAQ,1097149,3842
ALIM,"Alimera Sciences, Inc.",0.8699,61763330.6,,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim,NASDAQ,1267602,2834
ALYA,Alithya Group inc.,2.98,144519546.2,,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya,NASDAQ,1734520,7370
ALJJ,"ALJ Regional Holdings, Inc.",1.53,58180445.55,,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj,NASDAQ,1103926,7310
ALKS,Alkermes plc,23.95,3757862512,,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks,NASDAQ,1520262,2834
ALLK,Allakos Inc.,44.35,1912539333,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk,NASDAQ,1564824,2834
ABTX,"Allegiance Bancshares, Inc.",34.95,745885215.3,,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,NASDAQ,1642081,6022
ALGT,Allegiant Travel Company,141.96,2312097267,,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt,NASDAQ,1362468,4512
ALGR,Allegro Merger Corp.,10.01,190790600,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr,NASDAQ,1720025,6770
ALGRR,Allegro Merger Corp.,0.26,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr,NASDAQ,1720025,6770
ALGRU,Allegro Merger Corp.,10.47,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru,NASDAQ,1720025,6770
ALGRW,Allegro Merger Corp.,0.25,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw,NASDAQ,1720025,6770
ALNA,"Allena Pharmaceuticals, Inc.",4.51,93880448.64,,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,NASDAQ,1624658,2836
ARLP,"Alliance Resource Partners, L.P.",17.39,2232722811,,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp,NASDAQ,1086600,1221
LNT,Alliant Energy Corporation,48.72,11565855606,,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt,NASDAQ,352541,4931
AHPI,"Allied Healthcare Products, Inc.",1.63,6542065.31,,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi,NASDAQ,874710,3842
AMOT,"Allied Motion Technologies, Inc.",35.53,341339587.9,,,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot,NASDAQ,46129,3825
ALLO,"Allogene Therapeutics, Inc.",28.3,3439562756,,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo,NASDAQ,1737287,2836
ALLT,Allot Ltd.,7.17,244044515.6,,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt,NASDAQ,1365767,3576
MDRX,"Allscripts Healthcare Solutions, Inc.",10.19,1696004494,,,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx,NASDAQ,1124804,7373
ALNY,"Alnylam Pharmaceuticals, Inc.",68.93,7343580108,,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny,NASDAQ,1178670,2834
AOSL,Alpha and Omega Semiconductor Limited,9.13,221784243.6,,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl,NASDAQ,1387467,3674
GOOG,Alphabet Inc.,1133.47,7.86905E+11,,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog,NASDAQ,1652044,7370
GOOGL,Alphabet Inc.,1138.61,7.90473E+11,,,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,NASDAQ,1652044,7370
SMCP,AlphaMark Actively Managed Small Cap ETF,23.07,23070023.07,,,,,https://www.nasdaq.com/symbol/smcp,NASDAQ,,
ATEC,"Alphatec Holdings, Inc.",4.07,190709699.4,,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec,NASDAQ,1350653,3841
ALPN,"Alpine Immune Sciences, Inc.",4.8,89141534.4,,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn,NASDAQ,1626199,2834
AMR,"Alta Mesa Resources, Inc.",0.123,46848125.73,,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr,NASDAQ,1690769,1311
AMRWW,"Alta Mesa Resources, Inc.",0.0078,0,,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww,NASDAQ,1690769,1311
AABA,Altaba Inc.,61.91,32162948669,,,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,NASDAQ,1011006,
ALTR,Altair Engineering Inc.,37.32,1455923623,,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr,NASDAQ,1701732,7372
ATHE,Alterity Therapeutics Limited,1.4,9580435.2,6843168,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/athe,NASDAQ,1131343,2834
ALT,"Altimmune, Inc.",2.51,33761206.8,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt,NASDAQ,1326190,2834
ASPS,Altisource Portfolio Solutions S.A.,22.35,363828855.6,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps,NASDAQ,1462418,7380
AIMC,Altra Industrial Motion Corp.,33.31,2148316192,,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc,NASDAQ,1374535,3569
ALTM,Altus Midstream Company,5.03,1634394404,,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/altm,NASDAQ,1692787,4922
AMAG,"AMAG Pharmaceuticals, Inc.",10.24,345773455.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag,NASDAQ,792977,2834
AMAL,Amalgamated Bank,17.71,562674770.4,,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal,NASDAQ,919192,
AMRN,Amarin Corporation plc,17.63,5685868754,322510990,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn,NASDAQ,1120246,2834
AMRK,"A-Mark Precious Metals, Inc.",13,91408850,,,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk,NASDAQ,1591588,5094
AMZN,"Amazon.com, Inc.",1823.28,8.97659E+11,,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn,NASDAQ,1018724,5961
AMBC,"Ambac Financial Group, Inc.",16.09,732425504.7,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc,NASDAQ,874501,6351
AMBCW,"Ambac Financial Group, Inc.",7.4137,0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw,NASDAQ,874501,6351
AMBA,"Ambarella, Inc.",38.24,1251747548,,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba,NASDAQ,1280263,3674
AMCX,AMC Networks Inc.,54.46,3093920089,,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx,NASDAQ,1514991,4841
AMCI,AMCI Acquisition Corp.,9.86,271791846.6,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amci,NASDAQ,1744494,6770
AMCIU,AMCI Acquisition Corp.,10.2,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciu,NASDAQ,1744494,6770
AMCIW,AMCI Acquisition Corp.,0.36,0,,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciw,NASDAQ,1744494,6770
DOX,Amdocs Limited,60.49,8408835880,,,Technology,EDP Services,https://www.nasdaq.com/symbol/dox,NASDAQ,1062579,7371
