CIK,Year,Industry,similarity
1000045,2007,1,0.2586058700670337
1000045,2008,1,0.2665691330695829
1000045,2009,1,0.24596919298180264
1000045,2010,1,0.2503980701301245
1000045,2011,1,0.2529089584675037
1000045,2012,1,0.24237332807227516
1000045,2013,1,0.24467358365981645
1000045,2014,1,0.22106749062138784
1000045,2015,1,0.22580744325179114
1000045,2016,1,0.20394614270604616
1000045,2017,1,0.2171470050856786
1000228,2007,1,0.26612268601008815
1000228,2008,1,0.2512686675352816
1000228,2009,1,0.25795198959030335
1000228,2010,1,0.25472367635555415
1000228,2011,1,0.25156803875089634
1000228,2012,1,0.22463608203526336
1000228,2013,1,0.23326535081107225
1000228,2014,1,0.2231305961085455
1000228,2015,1,0.22280426717983284
1000228,2016,1,0.22813469887565502
1000228,2017,1,0.20079608491158898
1000230,2007,1,0.2925652710072159
1000230,2008,1,0.285291611429487
1000230,2009,1,0.2824625480463496
1000230,2010,1,0.2751509294204689
1000230,2011,1,0.27809650780158773
1000230,2011,1,0.27236615238825446
1000230,2012,1,0.2797646290792856
1000230,2013,1,0.28706946432025965
1000230,2015,1,0.2898844502170751
1000230,2015,1,0.47004314509926626
1000230,2016,1,0.29397649086917993
1000230,2017,1,0.28716738929148306
1000694,2007,1,0.24157023906178768
1000694,2008,1,0.23239632095710713
1000694,2009,1,0.26910364482889937
1000694,2010,1,0.253201441771662
1000694,2011,1,0.24011556616456442
1000694,2012,1,0.2295202233654735
1000694,2013,1,0.22697691259317668
1000694,2014,1,0.20131878324059205
1000694,2015,1,0.1787413158788212
1000694,2016,1,0.190182415959514
1000694,2017,1,0.19232342399037541
1001082,2007,1,0.5125182372084728
1001082,2008,1,0.3055113471343804
1001082,2009,1,0.29636745382653223
1001082,2010,1,0.2720609023500551
1001082,2011,1,0.2514211605212543
1001082,2012,1,0.2734457418360847
1001082,2013,1,0.26258506387245173
1001082,2014,1,0.24357305567692752
1001082,2015,1,0.5107510416873036
1001082,2016,1,0.48995094734328654
1001082,2017,1,0.5149237442364031
1001115,2007,1,0.2373730247773685
1001115,2008,1,0.2382129783351797
1001115,2009,1,0.23742814297757464
1001115,2010,1,0.23292967393795883
1001115,2011,1,0.22401378856035192
1001115,2012,1,0.21102415604130975
1001115,2013,1,0.2172130955074889
1001115,2014,1,0.22303081767124364
1001115,2015,1,0.21246608276560078
1001115,2017,1,0.19955227407216736
1001171,2008,1,0.22404398270947343
1001171,2009,1,0.22188445903313195
1001171,2010,1,0.22495209213913847
1001171,2011,1,0.2213515623629989
1001171,2012,1,0.2309237607987818
1001171,2013,1,0.22286633792123753
1001171,2014,1,0.23163213339317612
1001171,2015,1,0.23230976947560716
1001171,2016,1,0.22858228215032567
1001171,2017,1,0.23053260159338373
1001233,2007,1,0.20047171130882083
1001233,2008,1,0.19697230017622377
1001233,2009,1,0.19470483866169078
1001233,2010,1,0.19356570831088782
1001233,2011,1,0.20799235089737733
1001233,2012,1,0.20317323941532195
1001233,2013,1,0.18834254024440647
1001233,2014,1,0.1890771569989448
1001233,2015,1,0.18149576472192866
1001233,2016,1,0.1746987518099802
1001233,2017,1,0.13335239024340592
1001258,2008,1,0.2632687947066146
1001258,2008,1,0.2564940737741573
1001258,2009,1,0.2426817741778718
1001258,2010,1,0.24016313291436767
1001258,2012,1,0.13713268120135413
1001258,2012,1,0.23002394034070914
1001258,2014,1,0.23245491426067175
1001258,2014,1,0.20511690016983974
1001258,2015,1,0.20032732062645367
1001258,2017,1,0.20190329984899666
1001258,2017,1,0.20607321582602645
1001316,2008,1,0.14180093367155092
1001316,2009,1,0.1264607460544547
1001316,2010,1,0.12329646977827899
1001316,2011,1,0.19384584094814342
1001316,2012,1,0.24647637083529278
1001316,2013,1,0.24748899527028365
1001316,2014,1,0.2397758209637496
1001316,2015,1,0.27030805230909827
1001316,2016,1,0.26605481009669685
1001316,2017,1,0.25806954560938106
1001385,2007,1,0.19950023198112235
1001385,2008,1,0.19463702369627786
1001385,2009,1,0.18038540362092356
1001385,2010,1,0.19161568623526337
1001385,2011,1,0.18325002868250329
1001385,2012,1,0.17047799432213545
1001385,2013,1,0.28589974770071486
1001385,2014,1,0.17267352283835358
1001385,2015,1,0.5070061022442953
1001385,2016,1,0.17613242039423394
1001902,2007,1,0.2890709561368619
1001902,2008,1,0.27365035290161244
1001902,2009,1,0.26280620334475774
1001902,2010,1,0.28176698630567665
1001902,2011,1,0.2715644802100906
1001902,2012,1,0.278537758931112
1001902,2013,1,0.28032325414355114
1001902,2014,1,0.2738971213451341
1001902,2015,1,0.2910472741784653
